frame,metric,arm,baseline,n,arm_value,baseline_value,median_diff,mean_diff,p_raw,p_holm
WLI,nsd3,mmd_fusion,wli_only,77,0.2508662221601061,0.24963024675684728,-0.008018568046880808,0.001235975403258769,0.5886797492620545,1.0
WLI,nsd3,mid_fusion,wli_only,77,0.24764306927924734,0.24963024675684728,-0.004057920368152335,-0.001987177477599977,0.7318023278364505,1.0
WLI,nsd3,ours,wli_only,77,0.25399166620234803,0.24963024675684728,0.0033475427291985715,0.004361419445500646,0.6678897781868288,1.0
WLI,hd95,early_fusion_wli,wli_only,77,78.28078542353241,64.89996317810538,10.748713519010337,13.380822245427042,2.021221584254723e-05,0.0001414855108978306
WLI,hd95,mmd_fusion_w1.0,wli_only,77,77.89298568826612,64.89996317810538,8.127667845042765,12.993022510160772,1.5010066419102723e-05,0.00012008053135282178
WLI,hd95,mmd_fusion,wli_only,77,74.5220178038758,64.89996317810538,5.1282539798959235,9.622054625770442,0.0005498515537486426,0.003299109322491856
WLI,hd95,mmd_fusion_w1e-4,wli_only,77,65.69328144996875,64.89996317810538,1.7414991733012002,0.7933182718633969,0.6495169929292675,1.0
WLI,hd95,mid_fusion,wli_only,77,64.78691003712002,64.89996317810538,1.0157639230975875,-0.11305314098531667,0.6902018473176867,1.0
WLI,hd95,mmd_fusion_w0.01,wli_only,77,65.6521826893068,64.89996317810538,0.8426958502260078,0.7522195112014476,0.7241754399330793,1.0
WLI,hd95,mid_fusion_wide,wli_only,77,63.74803770653382,64.89996317810538,0.332204258757578,-1.1519254715715257,0.9493935715989974,1.0
WLI,hd95,ours,wli_only,77,64.6184238409507,64.89996317810538,-0.3064557805175241,-0.28153933715464924,0.9817710398071814,1.0
WLI,residual_area_frac,early_fusion_wli,wli_only,77,0.2568270857089587,0.20063335145962005,0.038467620620256104,0.05619373424933855,5.137546610267333e-05,0.00041100372882138666
WLI,residual_area_frac,mid_fusion,wli_only,77,0.1995561679746386,0.20063335145962005,-0.010425428035721718,-0.0010771834849814489,0.6458674257060324,1.0
WLI,residual_area_frac,mmd_fusion_w1e-4,wli_only,77,0.19293524210209148,0.20063335145962005,-0.009318856540898847,-0.0076981093575285275,0.11725533902742412,0.8207873731919688
WLI,residual_area_frac,ours,wli_only,77,0.20469414610602982,0.20063335145962005,-0.004133637796028484,0.0040607946464097855,0.7394558063060421,1.0
WLI,residual_area_frac,mid_fusion_wide,wli_only,77,0.1932212929829954,0.20063335145962005,-0.0040184261568301325,-0.007412058476624652,0.3258585756233551,1.0
WLI,residual_area_frac,mmd_fusion,wli_only,77,0.21358181694529713,0.20063335145962005,-0.0029592684954280832,0.012948465485677123,0.537292614167187,1.0
WLI,residual_area_frac,mmd_fusion_w0.01,wli_only,77,0.19833678085978929,0.20063335145962005,0.002487350391120767,-0.0022965705998307826,0.8969814827087244,1.0
WLI,residual_area_frac,mmd_fusion_w1.0,wli_only,77,0.21052284865139936,0.20063335145962005,-0.0015178859837110892,0.009889497191779345,0.620562687503724,1.0
WLI,over_area_ratio,early_fusion_wli,wli_only,77,0.9260443776096041,0.6787298545596067,0.13578996659543136,0.24731452304999754,0.0002165062933998342,0.0017320503471986736
WLI,over_area_ratio,mmd_fusion_w1e-4,wli_only,77,0.7635342974885204,0.6787298545596067,0.025343114288491203,0.08480444292891401,0.1743931193622934,1.0
WLI,over_area_ratio,mmd_fusion_w1.0,wli_only,77,0.7700250724651388,0.6787298545596067,0.02396495639470675,0.09129521790553217,0.04199945737913927,0.2939962016539749
WLI,over_area_ratio,mid_fusion,wli_only,77,0.6760972537462636,0.6787298545596067,-0.022460565268026235,-0.002632600813342772,0.3062560300279342,1.0
WLI,over_area_ratio,ours,wli_only,77,0.6925424844507098,0.6787298545596067,-0.01304298744987405,0.01381262989110322,0.20887204069797738,1.0
WLI,over_area_ratio,mid_fusion_wide,wli_only,77,0.6972296620989465,0.6787298545596067,-0.004525656358255352,0.018499807539340076,0.9493935715989974,1.0
WLI,over_area_ratio,mmd_fusion_w0.01,wli_only,77,0.6817703448953063,0.6787298545596067,0.0010264033411198662,0.0030404903356997222,0.8331097629638085,1.0
WLI,over_area_ratio,mmd_fusion,wli_only,77,0.6717207642743418,0.6787298545596067,-0.0009368869450953818,-0.007009090285264669,0.5713002663696997,1.0
WLI,residual_px,early_fusion_wli,wli_only,77,44.11412921917315,37.49897272105512,3.87000668748166,6.615156498118042,0.0035920621242322907,0.028736496993858326
WLI,residual_px,mmd_fusion_w1e-4,wli_only,77,37.07063563982543,37.49897272105512,-1.334425215975731,-0.42833708122968017,0.17600932779664014,1.0
WLI,residual_px,mmd_fusion_w1.0,wli_only,77,38.9683099333262,37.49897272105512,-1.2736394393159856,1.4693372122710906,0.5644174898376426,1.0
WLI,residual_px,mid_fusion,wli_only,77,38.18924984119402,37.49897272105512,-1.238573985427692,0.6902771201389054,0.6864637689507684,1.0
WLI,residual_px,mid_fusion_wide,wli_only,77,38.130969398371356,37.49897272105512,-0.824709699278241,0.6319966773162443,0.8689300686591552,1.0
WLI,residual_px,mmd_fusion,wli_only,77,39.89157206500139,37.49897272105512,0.5785339298621821,2.392599343946287,0.24596689644633707,1.0
WLI,residual_px,mmd_fusion_w0.01,wli_only,77,38.47277106175462,37.49897272105512,-0.03884140528134594,0.9737983406995128,0.547387273832405,1.0
WLI,residual_px,ours,wli_only,77,38.63414470332864,37.49897272105512,-0.03581930119236176,1.1351719822735227,0.7937150075329669,1.0
WLI,dice,ours,early_fusion_wli,77,0.716482525683844,0.6322201220204011,0.07839179535706836,0.08426240366344298,3.2630063622585457e-09,1.6315031811292727e-08
WLI,bf1,ours,early_fusion_wli,77,0.14299855084457527,0.07738046909702145,0.05248420091975898,0.06561808174755378,9.399338050967691e-11,8.459404245870922e-10
WLI,bf2,ours,early_fusion_wli,77,0.20260402146308512,0.11784342301642872,0.06938515966563363,0.08476059844665645,7.67818237433678e-11,7.678182374336779e-10
