case,scale,none,rigid,bspline,fold
病例55,far,0.4082765075544859,0.305854318284279,0.4250954786251078,0.0913543701171875
病例55,near,0.7153549261982997,0.6505376344086021,0.7315512465373961,0.0538787841796875
病例56,far,0.49436468536159933,0.5048312465977136,0.6705803098835531,0.0052947998046875
病例56,near,0.37862326713311023,0.5548291995129142,0.6229692093455051,0.15130615234375
病例57,far,0.005465342372168795,0.0,0.0035866026596038185,0.0799560546875
病例57,near,0.28717488269709784,0.6475721398361797,0.8157741747949099,0.0613555908203125
病例58,far,0.42435203985871994,0.628209490407517,0.6686618819324275,0.05377197265625
病例58,near,0.9356726046590401,0.8824375279606315,0.9445454545454546,0.0
病例59,far,0.47336213102951763,0.13970122800354476,0.016427776686955952,0.025604248046875
病例59,near,0.17534135698198197,0.21975815158713022,0.1699828052075657,0.0
病例6,far,0.20506003430531733,0.2340632603406326,0.2419062939875327,0.0
病例6,near,0.6809679682020108,0.6199870823791909,0.5996306665872402,0.0
病例60,far,0.07073629393895559,0.07925445705024312,0.07962872496336101,0.02313232421875
病例60,near,0.21327870640100946,0.2304610567778208,0.2225129613678103,0.1469573974609375
病例61,far,0.23639348402576082,0.2858282796042132,0.3845989304812834,0.095062255859375
病例61,near,0.2686715135492399,0.2895723930982746,0.06438213914849429,0.0
病例62,far,0.09380342867704819,0.09486744032455892,0.03406486452544661,0.2038421630859375
病例62,near,0.25949578761287445,0.3437693738375697,0.32834189303467193,0.0
病例63,far,0.0,0.0,0.0,0.01690673828125
病例63,near,0.19779503457657863,0.1803123675372526,0.1348084348084348,0.0
病例64,far,0.10975004138387684,0.24271844660194175,0.09939464948252294,0.0457611083984375
病例64,near,0.03683675810310359,0.08402936948836487,0.19088338735259638,0.2157745361328125
病例65,far,0.3212695677150653,0.5030111412225233,0.4922411220531185,0.0
病例65,near,0.2258231786362458,0.2507523518400038,0.26360371517027864,0.0466461181640625
病例66,far,0.0,0.0,0.0,0.0
病例66,near,0.05557758392809939,0.08587401902909925,0.13985496522125204,0.519256591796875
病例67,far,0.5260878978133795,0.26149476300372804,0.2996788438378161,0.0
病例67,near,0.37692747001713306,0.37309070337544786,0.5405936701395715,0.0416412353515625
病例68,far,0.7500489524182494,0.7994947604790419,0.6855611744282587,0.0120849609375
病例68,near,0.15809044020630922,0.14713208209086126,0.08296308668782362,0.0
病例69,far,0.03394762366634336,0.08378496503496503,0.15219118231166423,0.0132598876953125
病例69,near,0.4621116936007972,0.6163029339499928,0.54902820023715,0.0
病例7,far,0.0,0.0,0.02534389328887036,0.2086944580078125
病例7,near,0.1062613010386443,0.07267378985162434,0.05094824091175278,0.0
病例70,far,0.33001808318264014,0.32734641245279544,0.3599686643164904,0.0
病例70,near,0.7487271044105006,0.864740042092135,0.7966609829676404,0.0590972900390625
病例71,far,0.5274233479337269,0.45959741885774824,0.2683020314296665,0.0043792724609375
病例71,near,0.19205696519907733,0.3065846707664617,0.28228103077029937,0.0
病例72,far,0.41422896352473815,0.6179427687548337,0.6414032765182857,0.0
病例72,near,0.15048219230401985,0.20799736712193517,0.18894202032277346,0.0
病例73,far,0.5113008538422903,0.5614923134608174,0.5361122575319851,0.0
病例73,near,0.4165105341643406,0.4046826813828924,0.46182092081724885,0.0345458984375
病例74,far,0.22008327475260908,0.204770362852068,0.0,0.5251617431640625
病例74,near,0.12774377954487157,0.11691904484566104,0.12356828193832599,0.1049041748046875
病例75,far,0.5338072669826225,0.5484090522375361,0.195852301466869,0.1081390380859375
病例75,near,0.3631529653463851,0.5597715028794352,0.45068033918359296,0.0
病例77,far,0.08436012916383413,0.09009029447797087,0.11963726199084117,0.2584075927734375
病例77,near,0.15856650193764,0.1978265690840541,0.19269404419865632,0.0
病例78,far,0.26181998840771714,0.2634176434299815,0.32629107981220656,0.0
病例78,near,0.5194978074754646,0.8346710159234302,0.7254495768688294,0.0
病例79,far,0.17005705780203423,0.14439083232810615,0.25103591160220995,0.055145263671875
病例79,near,0.37163138002028084,0.6220249520153551,0.6183872904951684,0.064697265625
病例8,far,0.5736111111111111,0.46718936424066815,0.06443215099251545,0.1561737060546875
病例8,near,0.3568289264248212,0.5295147671115608,0.5329751921733054,0.0207061767578125
病例80,far,0.3378771742988995,0.3733763796080787,0.2985698216294392,0.0
病例80,near,0.6259004322074596,0.7668159127167927,0.7730496453900709,0.0
病例81,far,0.46051011433597183,0.42091203968708263,0.48722336299338354,0.0
病例81,near,0.7615669763397556,0.8186103609133317,0.8253563390847712,0.0
病例82,near,0.5143217207424653,0.5502521008403362,0.49737161342498987,0.0789642333984375
病例9,far,0.15898876404494383,0.11605316973415133,0.0,0.0755462646484375
病例9,near,0.18085106382978725,0.18171509567682495,0.17767671932344023,0.0532989501953125
